sample	condition
GSM1493357	stem
GSM1493358	stem
GSM1493359	stem
GSM1493360	stem
GSM1493361	stem
GSM1493362	stem
GSM1493363	stem
GSM1493364	stem
GSM1493365	stem
GSM1493366	stem
GSM1493367	stem
GSM1493368	stem
GSM1493369	stem
GSM1493370	stem
GSM1493371	stem
GSM1493372	stem
GSM1493373	stem
GSM1493374	stem
GSM1493375	stem
GSM1493376	stem
GSM1493377	stem
GSM1493378	stem
GSM1493379	stem
GSM314038	neuron
GSM314039	neuron
GSM314040	neuron
GSM314042	neuron
GSM314043	neuron
GSM314044	neuron
GSM314045	neuron
GSM314046	neuron
GSM314047	neuron
GSM314048	neuron
