ID	Gene Symbol	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function
1418139_at	Dcx	0001764 // neuron migration // inferred from genetic interaction /// 0001764 // neuron migration // not recorded /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007399 // nervous system development // inferred from electronic annotation /// 0007420 // brain development // inferred from genetic interaction /// 0021952 // central nervous system projection neuron axonogenesis // inferred from genetic interaction /// 0030154 // cell differentiation // inferred from electronic annotation /// 0035556 // intracellular signal transduction // inferred from electronic annotation /// 0048675 // axon extension // inferred from genetic interaction /// 0048813 // dendrite morphogenesis // inferred from genetic interaction	0005622 // intracellular // inferred from direct assay /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005874 // microtubule // inferred from electronic annotation /// 0030425 // dendrite // not recorded /// 0042995 // cell projection // inferred from electronic annotation /// 0043005 // neuron projection // inferred from direct assay /// 0043005 // neuron projection // not recorded	0005515 // protein binding // inferred from physical interaction /// 0008017 // microtubule binding // not recorded /// 0019901 // protein kinase binding // not recorded
1418357_at	Foxg1	0000122 // negative regulation of transcription from RNA polymerase II promoter //  /// 0002052 // positive regulation of neuroblast proliferation // inferred from mutant phenotype /// 0006351 // transcription, DNA-templated // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-templated // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007346 // regulation of mitotic cell cycle // inferred from mutant phenotype /// 0007420 // brain development // inferred from electronic annotation /// 0007568 // aging // inferred from electronic annotation /// 0009792 // embryo development ending in birth or egg hatching //  /// 0009888 // tissue development //  /// 0009953 // dorsal/ventral pattern formation // inferred from mutant phenotype /// 0010468 // regulation of gene expression // inferred from mutant phenotype /// 0016199 // axon midline choice point recognition // inferred from mutant phenotype /// 0021852 // pyramidal neuron migration // inferred from direct assay /// 0021954 // central nervous system neuron development // inferred from mutant phenotype /// 0021987 // cerebral cortex development // inferred from direct assay /// 0022008 // neurogenesis // inferred from direct assay /// 0030900 // forebrain development // inferred from mutant phenotype /// 0030902 // hindbrain development //  /// 0035058 // nonmotile primary cilium assembly //  /// 0042472 // inner ear morphogenesis // inferred from genetic interaction /// 0042472 // inner ear morphogenesis // inferred from mutant phenotype /// 0043584 // nose development //  /// 0045665 // negative regulation of neuron differentiation // inferred from mutant phenotype /// 0045787 // positive regulation of cell cycle // inferred from mutant phenotype /// 0045892 // negative regulation of transcription, DNA-templated // not recorded /// 0045944 // positive regulation of transcription from RNA polymerase II promoter //  /// 0048664 // neuron fate determination // inferred from direct assay /// 0048667 // cell morphogenesis involved in neuron differentiation // inferred from mutant phenotype /// 0051090 // regulation of sequence-specific DNA binding transcription factor activity //  /// 0051726 // regulation of cell cycle // inferred from direct assay /// 2000177 // regulation of neural precursor cell proliferation // inferred from genetic interaction	0005634 // nucleus // inferred from direct assay /// 0005667 // transcription factor complex //	0003677 // DNA binding // inferred from electronic annotation /// 0003690 // double-stranded DNA binding //  /// 0003700 // sequence-specific DNA binding transcription factor activity // inferred from electronic annotation /// 0003705 // RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity //  /// 0005515 // protein binding // inferred from electronic annotation /// 0008134 // transcription factor binding //  /// 0008301 // DNA binding, bending //  /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation
1424886_at	Ptprd	0006470 // protein dephosphorylation // inferred from electronic annotation /// 0007157 // heterophilic cell-cell adhesion // inferred from direct assay /// 0016311 // dephosphorylation // inferred from electronic annotation /// 0030182 // neuron differentiation // inferred from direct assay /// 0035335 // peptidyl-tyrosine dephosphorylation // inferred from electronic annotation /// 0050775 // positive regulation of dendrite morphogenesis // inferred from direct assay /// 0097105 // presynaptic membrane assembly // inferred from direct assay	0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation	0004721 // phosphoprotein phosphatase activity // inferred from electronic annotation /// 0004725 // protein tyrosine phosphatase activity // inferred from electronic annotation /// 0005102 // receptor binding // inferred from physical interaction /// 0005515 // protein binding // inferred from physical interaction /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016791 // phosphatase activity // inferred from electronic annotation /// 0050839 // cell adhesion molecule binding // inferred from physical interaction
1430053_a_at	Ola1	0006200 // ATP catabolic process // not recorded /// 0008152 // metabolic process // inferred from electronic annotation /// 0015684 // ferrous iron transport // inferred from electronic annotation	0005634 // nucleus // inferred from electronic annotation /// 0005730 // nucleolus // inferred from electronic annotation /// 0005737 // cytoplasm // not recorded /// 0016021 // integral component of membrane // inferred from electronic annotation /// 0070062 // extracellular vesicular exosome // not recorded	0000166 // nucleotide binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005524 // ATP binding // not recorded /// 0005525 // GTP binding // inferred from electronic annotation /// 0015093 // ferrous iron transmembrane transporter activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016887 // ATPase activity // inferred from electronic annotation /// 0043022 // ribosome binding // inferred from electronic annotation /// 0043023 // ribosomal large subunit binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
1437683_x_at	Serf2		0005634 // nucleus // inferred from sequence or structural similarity /// 0005829 // cytosol // inferred from sequence or structural similarity	
1438088_at	Kcnk10	0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from electronic annotation /// 0071805 // potassium ion transmembrane transport // not recorded	0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation	0005267 // potassium channel activity // not recorded
1442180_at	Dleu7			
1448109_a_at	Gm15772 	0006364 // rRNA processing // not recorded /// 0006412 // translation // inferred from electronic annotation /// 0042273 // ribosomal large subunit biogenesis // not recorded	0005622 // intracellular // inferred from electronic annotation /// 0005840 // ribosome // inferred from electronic annotation /// 0015934 // large ribosomal subunit // inferred from electronic annotation /// 0022625 // cytosolic large ribosomal subunit // not recorded /// 0030529 // ribonucleoprotein complex // inferred from electronic annotation /// 0070062 // extracellular vesicular exosome // not recorded	0003735 // structural constituent of ribosome // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // not recorded
1454627_a_at	Gm10913 	0006412 // translation // inferred from mutant phenotype /// 0008283 // cell proliferation // inferred from mutant phenotype /// 0031589 // cell-substrate adhesion // inferred from direct assay /// 0035264 // multicellular organism growth // inferred from mutant phenotype	0005622 // intracellular // inferred from electronic annotation /// 0005840 // ribosome // inferred from electronic annotation /// 0019898 // extrinsic component of membrane // inferred from direct assay /// 0022626 // cytosolic ribosome // inferred from direct assay /// 0030529 // ribonucleoprotein complex // inferred from electronic annotation /// 0042788 // polysomal ribosome // inferred from direct assay	0003735 // structural constituent of ribosome // inferred from electronic annotation /// 0008201 // heparin binding // inferred from direct assay
1455946_x_at	Tmsb10	0007010 // cytoskeleton organization // inferred from electronic annotation /// 0030036 // actin cytoskeleton organization // traceable author statement /// 0042989 // sequestering of actin monomers // inferred from electronic annotation	0005737 // cytoplasm // inferred by curator /// 0005856 // cytoskeleton // inferred from electronic annotation	0003779 // actin binding // inferred from electronic annotation /// 0003785 // actin monomer binding // traceable author statement
